99fund_user_id,username,displayname,email,phone,password,active_status,block_status,citizenship,incomeandstatus,virtualStatus,investor_agreement_approve,investor_status,offer_status,intermediary_status,group_id,total_iso,last_login,last_login_ip,first_login,inserted_date,inserted_ip_address,updated_date,updated_ip_address,browser_details,idology,external,account,offer_id,photo,groups,rounddesc,email_send,verify_time,technology,healthcare,agriculture,realestate,social,consumergoods,other,income,assets,upload,user_role,firstname,lastname,admin_user,master_password,accreditation_status,has_completed_accreditation_questions,is_approved,has_completed_registration,has_completed_investor_profile,has_opted_into_sms_notifications,sms_deferral_date,accreditation,hubspot_contact_id,hubspot_qualify_deal_id
4125,Virgie Evans-accredited,,emassei.jamestown+PO8FGXKG@gmail.com,(123)123-1231,581db31d940fe96225faf45b1a148250350d353b,1,1,,,ACTIVE,0,0,0,0,0,0,2022-10-03 14:11:29,172.21.0.1,1,2022-10-03 14:11:20,172.21.0.1,2022-10-03 14:11:20,172.21.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.53 Safari/537.36",,,,0,,,,0,,0,0,0,0,0,0,0,,0,0,,Virgie,Evans-accredited,0,9b53dc203c78e94928e99d29dad6fb0b586e9888,accredited_income,1,1,1,0,<null>,<null>,accredited,113951,10429291406
4126,Caroline Torres-accredited,,emassei.jamestown+P2Z54MPN@gmail.com,(123)123-1231,581db31d940fe96225faf45b1a148250350d353b,1,1,,,ACTIVE,0,0,0,0,0,0,2022-10-03 15:00:18,172.21.0.1,1,2022-10-03 15:00:10,172.21.0.1,2022-10-03 15:00:10,172.21.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.53 Safari/537.36",,,,0,,,,0,,0,0,0,0,0,0,0,,0,0,,Caroline,Torres-accredited,0,9b53dc203c78e94928e99d29dad6fb0b586e9888,accredited_income,1,1,1,0,<null>,<null>,accredited,114151,10431095728
4127,Edna Swift-accredited,,emassei.jamestown+RJVD70Q2@gmail.com,(123)123-1231,581db31d940fe96225faf45b1a148250350d353b,1,1,,,ACTIVE,0,0,0,0,0,0,2022-10-03 15:02:45,172.21.0.1,1,2022-10-03 15:02:33,172.21.0.1,2022-10-03 15:02:33,172.21.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.53 Safari/537.36",,,,0,,,,0,,0,0,0,0,0,0,0,,0,0,,Edna,Swift-accredited,0,9b53dc203c78e94928e99d29dad6fb0b586e9888,accredited_income,1,1,1,1,<null>,<null>,accredited,114301,10431110269
4128,Mathilda André-accredited,,emassei.jamestown+8L4AG72A@gmail.com,(123)123-1231,581db31d940fe96225faf45b1a148250350d353b,1,1,,,ACTIVE,0,0,0,0,0,0,2022-10-04 09:48:26,172.21.0.1,1,2022-10-04 09:48:18,172.21.0.1,2022-10-04 09:48:18,172.21.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.53 Safari/537.36",,,,0,,,,0,,0,0,0,0,0,0,0,,0,0,,Mathilda,André-accredited,0,9b53dc203c78e94928e99d29dad6fb0b586e9888,accredited_income,1,1,1,0,<null>,<null>,accredited,114601,10447314572
4129,Georgie Bartalesi-accredited,,emassei.jamestown+I9OG75ON@gmail.com,(123)123-1231,581db31d940fe96225faf45b1a148250350d353b,1,1,,,ACTIVE,0,0,0,0,0,0,2022-10-04 09:48:54,172.21.0.1,1,2022-10-04 09:48:44,172.21.0.1,2022-10-04 09:48:44,172.21.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.53 Safari/537.36",,,,0,,,,0,,0,0,0,0,0,0,0,,0,0,,Georgie,Bartalesi-accredited,0,9b53dc203c78e94928e99d29dad6fb0b586e9888,accredited_income,1,1,1,0,<null>,<null>,accredited,114851,10447008148
4130,Charlotte Arias-accredited,,emassei.jamestown+6SYGWT7L@gmail.com,(123)123-1231,581db31d940fe96225faf45b1a148250350d353b,1,1,,,ACTIVE,0,0,0,0,0,0,2022-10-04 10:09:24,172.21.0.1,1,2022-10-04 10:09:13,172.21.0.1,2022-10-04 10:09:13,172.21.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.53 Safari/537.36",,,,0,,,,0,,0,0,0,0,0,0,0,,0,0,,Charlotte,Arias-accredited,0,9b53dc203c78e94928e99d29dad6fb0b586e9888,accredited_income,1,1,1,1,<null>,<null>,accredited,115051,10447577175
4131,Zachary Stephenson-accredited,,emassei.jamestown+LGJR9TJ2@gmail.com,(123)123-1231,581db31d940fe96225faf45b1a148250350d353b,1,1,,,ACTIVE,0,0,0,0,0,0,2022-10-04 12:30:35,172.21.0.1,1,2022-10-04 12:30:25,172.21.0.1,2022-10-04 12:30:25,172.21.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.53 Safari/537.36",,,,0,,,,0,,0,0,0,0,0,0,0,,0,0,,Zachary,Stephenson-accredited,0,9b53dc203c78e94928e99d29dad6fb0b586e9888,accredited_income,1,1,1,1,<null>,<null>,accredited,115301,10450346586
4132,Clifford Kinoshita-accredited,,emassei.jamestown+2N3NAGKO@gmail.com,(123)123-1231,581db31d940fe96225faf45b1a148250350d353b,1,1,,,ACTIVE,0,0,0,0,0,0,2022-10-04 13:03:04,172.21.0.1,1,2022-10-04 13:02:48,172.21.0.1,2022-10-04 13:02:48,172.21.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.53 Safari/537.36",,,,0,,,,0,,0,0,0,0,0,0,0,,0,0,,Clifford,Kinoshita-accredited,0,9b53dc203c78e94928e99d29dad6fb0b586e9888,accredited_income,1,1,1,0,<null>,<null>,accredited,115501,10450358136
4133,Garrett Saito-accredited,,emassei.jamestown+AZ69BMMM@gmail.com,(123)123-1231,581db31d940fe96225faf45b1a148250350d353b,1,1,,,ACTIVE,0,0,0,0,0,0,2022-10-04 13:04:13,172.21.0.1,1,2022-10-04 13:03:58,172.21.0.1,2022-10-04 13:03:58,172.21.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.53 Safari/537.36",,,,0,,,,0,,0,0,0,0,0,0,0,,0,0,,Garrett,Saito-accredited,0,9b53dc203c78e94928e99d29dad6fb0b586e9888,accredited_income,1,1,1,1,<null>,<null>,accredited,115801,10450499606
4134,Gene Schuurman-accredited,,emassei.jamestown+DVC1JMZC@gmail.com,(123)123-1231,581db31d940fe96225faf45b1a148250350d353b,1,1,,,ACTIVE,0,0,0,0,0,0,0000-00-00 00:00:00,,1,2022-10-04 13:06:30,172.21.0.1,2022-10-04 13:06:30,172.21.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.53 Safari/537.36",,,,0,,,,0,,0,0,0,0,0,0,0,,0,0,,Gene,Schuurman-accredited,0,9b53dc203c78e94928e99d29dad6fb0b586e9888,accredited_income,1,1,1,0,<null>,<null>,accredited,116101,10450535006
